0,0.00038862
0.01,0.00026923
0.02,0.00018702
0.03,0.00013977
0.04,0.00012523
0.05,0.00014118
0.06,0.00018539
0.07,0.00025563
0.08,0.00034966
0.09,0.00046525
0.1,0.00060017
0.11,0.0007522
0.12,0.00091909
0.13,0.0010986
0.14,0.0012886
0.15,0.0014867
0.16,0.0016907
0.17,0.0018985
0.18,0.0021077
0.19,0.0023162
0.2,0.0025218
0.21,0.0027221
0.22,0.0029149
0.23,0.0030981
0.24,0.0032694
0.25,0.0034272
0.26,0.0035731
0.27,0.0037092
0.28,0.0038376
0.29,0.0039606
0.3,0.0040802
0.31,0.0041987
0.32,0.0043183
0.33,0.0044409
0.34,0.004569
0.35,0.0047045
0.36,0.0048497
0.37,0.0050059
0.38,0.0051707
0.39,0.0053409
0.4,0.0055133
0.41,0.0056847
0.42,0.0058518
0.43,0.0060115
0.44,0.0061605
0.45,0.0062957
0.46,0.0064137
0.47,0.0065115
0.48,0.0065857
0.49,0.0066341
0.5,0.0066585
0.51,0.0066614
0.52,0.0066455
0.53,0.0066134
0.54,0.0065678
0.55,0.0065113
0.56,0.0064465
0.57,0.0063762
0.58,0.0063029
0.59,0.0062293
0.6,0.006158
0.61,0.0060911
0.62,0.0060283
0.63,0.0059686
0.64,0.0059113
0.65,0.0058554
0.66,0.0058001
0.67,0.0057443
0.68,0.0056874
0.69,0.0056283
0.7,0.0055662
0.71,0.0055002
0.72,0.0054294
0.73,0.0053531
0.74,0.0052714
0.75,0.0051845
0.76,0.0050927
0.77,0.0049961
0.78,0.0048952
0.79,0.00479
0.8,0.0046809
0.81,0.004568
0.82,0.0044517
0.83,0.0043322
0.84,0.0042098
0.85,0.0040846
0.86,0.003957
0.87,0.0038273
0.88,0.0036959
0.89,0.0035631
0.9,0.0034291
0.91,0.0032944
0.92,0.0031593
0.93,0.003024
0.94,0.002889
0.95,0.0027544
0.96,0.0026207
0.97,0.0024881
0.98,0.0023563
0.99,0.002225
1,0.0020937
1.01,0.0019622
1.02,0.00183
1.03,0.0016969
1.04,0.0015623
1.05,0.0014261
1.06,0.0012878
1.07,0.001147
1.08,0.0010034
1.09,0.00085686
1.1,0.00070843
1.11,0.00055931
1.12,0.00041075
1.13,0.00026399
1.14,0.00012029
1.15,-1.9113e-05
